tconst	averageRating	numVotes
tt0000337	4.9	388
tt0000340	4.9	344
tt0000341	4.9	406
tt0000346	4.7	251
tt0000347	4.4	126
tt0000349	5.5	150
tt0000350	5.7	798
tt0000352	5.4	67
tt0000353	5.1	393
tt0000355	6.2	821
tt0000357	5.8	532
tt0000358	6.2	812
tt0000359	7.1	3301
tt0000361	7.4	27
tt0000363	6.2	211
tt0000364	5.5	179
tt0000368	6.6	22
tt0000370	5.6	627
tt0000373	6.3	131
tt0000376	5.9	24
tt0000377	6.0	150
tt0000379	4.1	14
tt0000380	6.8	29
tt0000381	3.6	29
tt0000384	5.8	389
tt0000387	5.1	445
tt0000388	5.2	152
tt0000399	6.1	827
tt0000400	5.8	18
tt0000402	6.1	15
tt0000406	5.7	50
tt0000407	3.8	44
tt0000409	5.1	293
tt0000410	6.7	1127
tt0000412	4.4	32
tt0000413	5.5	527
tt0000414	5.4	832
tt0000416	5.4	215
tt0000417	8.1	57225
tt0000420	6.2	2963
tt0000422	5.0	10
tt0000423	5.5	270
tt0000425	4.9	27
tt0000426	4.0	23
tt0000430	5.8	745
tt0000432	5.7	264
tt0000436	6.1	567
tt0000437	5.1	316
tt0000439	7.3	21454
tt0000440	5.4	258
tt0000441	7.2	12
tt0000442	4.6	111
tt0000443	5.8	14
tt0000446	4.8	26
tt0000447	6.4	2773
tt0000451	6.5	1081
tt0000452	4.6	123
tt0000455	6.8	1977
tt0000456	4.0	65
tt0000459	4.4	79
tt0000464	4.8	510
tt0000465	7.3	1911
tt0000469	5.8	1187
tt0000471	5.2	550
tt0000472	6.2	25
tt0000479	5.2	428
tt0000480	5.0	225
tt0000487	6.8	565
tt0000488	6.9	907
tt0000491	3.8	72
tt0000492	4.8	150
tt0000495	5.9	130
tt0000496	5.7	76
tt0000497	5.2	95
tt0000498	6.6	1358
tt0000499	7.5	4131
tt0000501	4.7	55
tt0000502	4.4	18
tt0000505	6.2	34
tt0000506	4.8	10
tt0000507	3.4	64
tt0000509	5.6	54
tt0000511	6.1	50
tt0000512	4.4	75
tt0000515	4.7	115
tt0000516	6.6	1169
tt0000519	5.7	439
tt0000520	6.2	69
tt0000521	5.5	358
tt0000524	5.8	839
tt0000525	5.3	57
tt0000526	4.1	72
tt0000528	5.4	19
tt0000533	6.3	42
tt0000534	6.6	1324
tt0000535	4.9	72
tt0000537	4.3	99
tt0000543	4.3	19
tt0000544	4.6	8
tt0000546	6.7	2033
tt0000548	4.4	9
tt0000550	3.2	15
tt0000552	5.6	74
tt0000553	6.5	558
tt0000554	6.2	1532
tt0000555	5.1	22
tt0000557	4.6	145
tt0000561	5.0	67
tt0000565	6.2	684
tt0000567	6.8	1443
tt0000570	3.9	60
tt0000571	6.7	74
tt0000574	6.0	938
tt0000575	5.7	584
tt0000576	6.1	253
tt0000578	7.2	29
tt0000581	4.2	13
tt0000582	4.7	777
tt0000583	5.3	56
tt0000584	5.0	91
tt0000586	5.8	26
tt0000588	4.4	11
tt0000591	5.7	28
tt0000594	5.4	19
tt0000595	5.2	17
tt0000596	4.9	24
tt0000597	5.0	79
tt0000598	5.1	38
tt0000599	3.9	16
tt0000601	5.8	15
tt0000602	4.2	260
tt0000606	7.4	18
tt0000608	5.8	25
tt0000609	4.8	22
tt0000610	4.9	23
tt0000611	4.4	22
tt0000613	4.2	14
tt0000614	6.5	1259
tt0000615	4.3	27
tt0000617	4.9	41
tt0000618	8.9	16
tt0000621	6.5	641
tt0000623	4.2	9
tt0000627	5.9	64
tt0000628	5.7	955
tt0000629	5.7	86
tt0000630	3.0	29
tt0000632	5.0	63
tt0000634	3.9	28
tt0000636	4.4	21
tt0000637	5.5	808
tt0000638	5.1	91
tt0000639	5.0	101
tt0000640	4.4	152
tt0000641	4.7	187
tt0000642	5.3	70
tt0000643	6.0	21
tt0000644	5.3	65
tt0000645	5.1	193
